name,family,path,sha256,decision,evidence,next_action,behavioral_quality,version_timestamp
sales-enablement,Sales and business development,/Users/newmindsgroup/.codex/skills/sales-enablement/SKILL.md,02398922039009318a5055779684a27288c9beecdb45714ff2a3f18a1ba6dc03,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
cold-email,Sales and business development,/Users/newmindsgroup/.codex/skills/cold-email/SKILL.md,f7b9d4e01ab2bb942daa036cf4ec9ec2fccdb8a1b12262c0bb94bd7627541c16,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
revops,Sales and business development,/Users/newmindsgroup/.codex/skills/revops/SKILL.md,d0e70b971ad6f7841d29719e9d4e4c9da8e90ba09b985b3b4942d133bb790dc4,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
pricing-strategy,Sales and business development,/Users/newmindsgroup/.codex/skills/pricing-strategy/SKILL.md,1608862e51c5eaa825b303d44c0c60b1533199dc58d2bbef5a86e52bc71e2d66,repair before promotion,Unconditional price-above-alternative rule is not appropriate as a universal decision rule.,Remove blanket conclusion in a future reviewed revision; require evidence and explicit assumptions.,not established except named helper probes,2026-09-14 19:26:41 AST
competitor-alternatives,Sales and business development,/Users/newmindsgroup/.codex/skills/competitor-alternatives/SKILL.md,5d07eb59485c00dd630351636bd141b7006dbd8e47504712ff5bb0be9f96e8d5,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
competitive-landscape,Sales and business development,/Users/newmindsgroup/.codex/skills/competitive-landscape/SKILL.md,ed759eedd410f6f726fb6dadd9b83e8d37523b75fcf35db99a231f71c8b87e7a,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
market-sizing-analysis,Sales and business development,/Users/newmindsgroup/.codex/skills/market-sizing-analysis/SKILL.md,15c6b5a4c3eccc8d8933d1d2886ee5bdbd2368ef632381bff1e08e27b4e76df1,repair before promotion,"Missing methodology-deep-dive.md, industry-templates.md and implementation-playbook.md.",Keep market research capability; qualify a complete evidence-based method before packaging.,not established except named helper probes,2026-09-14 19:26:41 AST
lead-magnets,Sales and business development,/Users/newmindsgroup/.codex/skills/lead-magnets/SKILL.md,f774c7348d8cc25b10f8c5321d5f23b29c1027f59b573b80a26dee0042c3b7c8,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
lead-magnets,Sales and business development,/Users/newmindsgroup/.agents/skills/lead-magnets/SKILL.md,5ca91151abd8b34eac2a4b542d4889b322b52d238ecafb622d7767c9065145a7,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
referral-program,Sales and business development,/Users/newmindsgroup/.codex/skills/referral-program/SKILL.md,6e7da7a16c883314ddc5935bff30a064981d570e1b66fd9b324dc3152fca416b,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
business-model-canvas,Sales and business development,/Users/newmindsgroup/.codex/skills/business-model-canvas/SKILL.md,dce9912c4f98a7994801514dbd8f9e53c35a62c4d8b04c04fe86783d87a20da8,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
business-model-canvas,Sales and business development,/Users/newmindsgroup/.agents/skills/business-model-canvas/SKILL.md,dce9912c4f98a7994801514dbd8f9e53c35a62c4d8b04c04fe86783d87a20da8,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
business-model-designer,Sales and business development,/Users/newmindsgroup/.codex/skills/business-model-designer/SKILL.md,0c0ad1768e323e723fff3860cffb4b4e3efac87e52b2d8b120e8043f21a2552f,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
business-model-designer,Sales and business development,/Users/newmindsgroup/.agents/skills/business-model-designer/SKILL.md,f7f53f84cad381f0bf0f9a9c8a68fef8d00c7a7fb60d8842342be07b0142584d,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
startup-validator,Sales and business development,/Users/newmindsgroup/.codex/skills/startup-validator/SKILL.md,6ae854a0f595526caa0dc07452d5f1558e0a9e8e0a046433c0a4a8fe27bd0432,do not promote helper,"Synthetic probes show high-confidence decisions with no evidence or a single factor, plus division by zero.",Use evidence-linked research and explicit assumptions; do not use this score as decision authority.,not established except named helper probes,2026-09-14 19:26:41 AST
