name,path,enabled,plugin_id,family,decision,classification_basis,version_timestamp
00-andruia-consultant,/Users/newmindsgroup/.codex/skills/00-andruia-consultant/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
10-andruia-skill-smith,/Users/newmindsgroup/.codex/skills/10-andruia-skill-smith/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
20-andruia-niche-intelligence,/Users/newmindsgroup/.codex/skills/20-andruia-niche-intelligence/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
2d-games,/Users/newmindsgroup/.codex/skills/game-development/2d-games/SKILL.md,False,,Unclassified: review required,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
3d-games,/Users/newmindsgroup/.codex/skills/game-development/3d-games/SKILL.md,False,,Unclassified: review required,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
3d-web-experience,/Users/newmindsgroup/.codex/skills/3d-web-experience/SKILL.md,False,,Web and app engineering,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ab-test-setup,/Users/newmindsgroup/.codex/skills/ab-test-setup/SKILL.md,True,,Product strategy and measurement,Retain: provisional daily scope,"Marketing and writing: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
acceptance-orchestrator,/Users/newmindsgroup/.codex/skills/acceptance-orchestrator/SKILL.md,True,,Unclassified: review required,Retain: provisional daily scope,"Essential operations and routing: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
accessibility-compliance-accessibility-audit,/Users/newmindsgroup/.codex/skills/accessibility-compliance-accessibility-audit/SKILL.md,True,,Brand and design,Retain: provisional daily scope,"Brand design and UX: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
ad-creative,/Users/newmindsgroup/.codex/skills/ad-creative/SKILL.md,True,,Marketing and growth,Retain: provisional daily scope,"Marketing and writing: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
address-github-comments,/Users/newmindsgroup/.codex/skills/address-github-comments/SKILL.md,True,,Quality and operations,Retain: provisional daily scope,"Essential operations and routing: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
adhx,/Users/newmindsgroup/.codex/skills/adhx/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
advanced-evaluation,/Users/newmindsgroup/.codex/skills/advanced-evaluation/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
aegisops-ai,/Users/newmindsgroup/.codex/skills/aegisops-ai/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-dx-cli-scale,/Users/newmindsgroup/.claude/skills/agent-dx-cli-scale/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-evaluation,/Users/newmindsgroup/.codex/skills/agent-evaluation/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-framework-azure-ai-py,/Users/newmindsgroup/.codex/skills/agent-framework-azure-ai-py/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-manager-skill,/Users/newmindsgroup/.codex/skills/agent-manager-skill/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-memory-mcp,/Users/newmindsgroup/.codex/skills/agent-memory-mcp/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-memory-systems,/Users/newmindsgroup/.codex/skills/agent-memory-systems/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-orchestration-improve-agent,/Users/newmindsgroup/.codex/skills/agent-orchestration-improve-agent/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-orchestration-multi-agent-optimize,/Users/newmindsgroup/.codex/skills/agent-orchestration-multi-agent-optimize/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agent-tool-builder,/Users/newmindsgroup/.codex/skills/agent-tool-builder/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agentflow,/Users/newmindsgroup/.codex/skills/agentflow/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agentfolio,/Users/newmindsgroup/.codex/skills/agentfolio/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agentic-actions-auditor,/Users/newmindsgroup/.claude/skills/agentic-actions-auditor/SKILL.md,False,,Quality and operations,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
agentic-actions-auditor,/Users/newmindsgroup/.codex/skills/agentic-actions-auditor/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
agents-md,/Users/newmindsgroup/.claude/skills/agents-md/SKILL.md,False,,Quality and operations,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
agents-md,/Users/newmindsgroup/.codex/skills/agents-md/SKILL.md,True,,Quality and operations,Retain: provisional daily scope,"Essential operations and routing: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
agents-v2-py,/Users/newmindsgroup/.codex/skills/agents-v2-py/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-agent-development,/Users/newmindsgroup/.codex/skills/ai-agent-development/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-agents-architect,/Users/newmindsgroup/.codex/skills/ai-agents-architect/SKILL.md,False,,Quality and operations,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-analyzer,/Users/newmindsgroup/.codex/skills/ai-analyzer/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-dev-jobs-mcp,/Users/newmindsgroup/.codex/skills/ai-dev-jobs-mcp/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-engineer,/Users/newmindsgroup/.codex/skills/ai-engineer/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-engineering-toolkit,/Users/newmindsgroup/.codex/skills/ai-engineering-toolkit/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-md,/Users/newmindsgroup/.codex/skills/ai-md/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-ml,/Users/newmindsgroup/.codex/skills/ai-ml/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-native-cli,/Users/newmindsgroup/.codex/skills/ai-native-cli/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-product,/Users/newmindsgroup/.claude/skills/ai-product/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-product,/Users/newmindsgroup/.codex/skills/ai-product/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-product-patterns,/Users/newmindsgroup/.claude/skills/ai-product-patterns/SKILL.md,False,,"Business, finance and strategy",Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-seo,/Users/newmindsgroup/.claude/skills/ai-seo/SKILL.md,False,,SEO and discovery,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
ai-seo,/Users/newmindsgroup/.codex/skills/ai-seo/SKILL.md,True,,SEO and discovery,Retain: provisional daily scope,"Marketing and writing: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
ai-startup-building,/Users/newmindsgroup/.claude/skills/ai-startup-building/SKILL.md,False,,"Business, finance and strategy",Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
ai-startup-building,/Users/newmindsgroup/.codex/skills/ai-startup-building/SKILL.md,False,,"Business, finance and strategy",Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-studio-image,/Users/newmindsgroup/.codex/skills/ai-studio-image/SKILL.md,False,,Brand and visual design,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
ai-wrapper-product,/Users/newmindsgroup/.codex/skills/ai-wrapper-product/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
airflow-dag-patterns,/Users/newmindsgroup/.codex/skills/airflow-dag-patterns/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
akf-trust-metadata,/Users/newmindsgroup/.codex/skills/akf-trust-metadata/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
algolia-search,/Users/newmindsgroup/.codex/skills/algolia-search/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
algorithmic-art,/Users/newmindsgroup/.codex/skills/algorithmic-art/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
alpha-vantage,/Users/newmindsgroup/.codex/skills/alpha-vantage/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
